record,enterprise,metro,tract_pct_minority,tract_income_ratio,borrower_income_ratio,ltv,loan_purpose,fed_guarantee,borrower_race,borrower_gender,coborrower_race,coborrower gender,units,affordability
93929,1,1,2,3,2,1,1,4,2,2,1,2,1,4
428738,1,1,3,3,2,2,8,4,5,9,2,4,1,4
1728855,1,1,2,3,3,2,1,4,7,7,1,2,1,4
1698887,1,1,2,1,3,4,1,4,5,9,1,4,1,4
72965,1,1,2,1,2,1,8,4,5,5,1,2,1,1
161704,1,1,2,3,3,4,1,4,5,5,2,1,1,4
1085684,1,0,2,2,3,2,1,4,5,5,1,2,1,4
799764,1,1,2,2,2,1,8,4,9,9,2,4,1,4
1144749,1,1,2,2,3,1,1,4,2,9,2,4,1,4
783212,1,1,3,2,2,2,1,4,2,2,1,1,1,4
1093747,1,1,1,3,3,1,8,4,5,9,2,4,1,4
1086543,1,1,2,2,3,2,1,4,5,5,1,2,1,4
649335,1,1,1,1,2,3,1,4,3,9,1,4,1,1
1106983,1,1,3,2,3,1,8,4,5,9,1,4,1,4
1092497,1,1,2,3,3,2,8,4,5,5,1,2,1,4
903982,1,1,1,3,2,3,1,4,5,9,1,4,1,4
490736,1,1,2,2,3,2,8,4,9,9,2,4,1,4
1237097,1,1,1,3,3,2,8,4,5,9,2,4,1,4
469272,1,1,2,3,3,4,1,4,2,2,2,1,1,4
1326730,1,1,3,1,2,5,1,4,7,9,2,4,1,1
331884,1,1,3,1,3,2,8,4,9,9,1,4,1,4
893608,1,1,3,2,3,2,8,4,9,9,3,3,1,4
473262,1,1,1,3,3,3,1,4,5,5,2,1,1,4
907935,1,1,2,3,3,2,1,4,5,9,2,1,1,4
211009,1,1,2,3,3,3,1,4,5,5,1,2,1,4
19194,1,0,1,2,3,4,1,4,5,5,1,2,1,4
855216,1,1,1,2,3,4,1,4,5,9,1,4,1,4
1450547,1,1,3,1,2,5,1,4,5,9,1,4,1,1
1643202,1,1,3,3,3,2,1,4,2,9,2,4,1,4
601125,1,1,2,2,1,2,8,4,5,9,1,4,1,3
155442,1,1,2,2,3,4,1,4,5,9,2,4,1,4
294464,1,1,3,1,3,5,1,4,7,9,1,4,1,4
462773,1,1,2,3,3,1,1,4,2,9,1,4,1,4
457936,1,1,1,2,3,2,1,4,5,5,1,1,1,4
1116579,1,1,3,2,2,3,8,4,3,9,2,4,1,4
933010,1,1,1,3,3,4,1,4,5,5,1,2,1,4
1741546,1,1,3,2,2,1,8,4,2,9,1,4,1,4
1595159,1,1,1,2,3,2,1,4,5,5,1,2,1,4
1050788,1,1,3,1,2,1,8,4,2,9,2,4,1,1
1556571,1,1,2,2,3,2,8,4,5,9,2,4,1,4
1490335,1,1,1,3,2,1,8,4,5,9,1,4,1,4
1153620,1,1,3,3,3,5,1,4,5,9,1,4,1,4
1174760,1,1,3,3,3,2,1,4,2,9,1,4,1,4
1125454,1,1,2,3,3,4,1,4,9,9,3,4,1,4
1571424,1,0,1,2,2,4,1,4,5,9,2,4,1,4
141415,1,1,1,2,2,5,1,4,5,9,1,4,1,4
1559571,1,0,2,2,3,5,1,4,5,5,1,2,1,4
1692997,1,1,3,3,3,1,8,4,5,9,2,4,1,4
319511,1,1,2,3,3,3,8,4,5,5,2,1,1,4
468235,1,1,3,3,3,1,1,4,5,5,1,2,1,4
1268780,1,1,1,1,1,2,1,4,5,9,2,4,1,2
696164,1,1,3,3,3,2,8,4,9,9,3,3,1,4
504506,1,0,1,2,3,4,1,4,5,9,2,4,1,4
141943,1,1,2,3,3,2,1,4,5,5,1,2,1,4
1703949,1,1,1,2,3,2,1,4,7,7,2,1,1,4
1373471,1,1,3,1,3,5,1,4,5,7,1,2,1,4
1440963,1,0,1,2,3,1,8,4,5,9,2,4,1,4
706402,1,1,3,3,3,2,1,4,5,5,1,2,1,4
791695,1,1,2,2,3,2,1,4,2,2,2,1,1,4
1237556,1,1,3,1,1,1,8,4,5,9,2,4,1,2
1465051,1,0,2,2,3,2,8,4,5,5,1,2,1,4
27443,1,1,3,2,3,2,1,4,5,5,1,2,1,4
738871,1,1,2,2,3,5,1,4,7,7,1,2,1,4
460351,1,1,3,3,3,2,1,4,5,5,1,2,1,4
1210404,1,1,2,2,2,2,1,4,5,9,2,4,1,4
1647968,1,1,3,2,3,1,8,4,5,2,1,2,1,4
363900,1,1,3,2,3,5,1,4,9,9,9,9,1,4
1193197,1,1,3,3,2,2,1,4,9,9,3,4,1,4
922347,1,1,2,3,3,2,1,4,5,5,1,2,1,4
977965,1,1,2,3,3,2,8,4,5,9,1,4,1,4
395564,1,1,3,3,3,3,1,4,5,9,2,4,1,4
921087,1,1,2,2,3,2,8,4,5,5,1,2,1,4
894531,1,1,3,2,3,1,8,4,2,2,1,2,1,4
1173731,1,1,3,3,3,3,1,4,7,7,2,1,1,4
264854,1,1,2,1,2,2,8,4,5,9,1,4,1,1
223047,1,1,3,3,3,2,1,4,5,5,2,1,1,4
1411171,1,1,1,3,3,4,1,4,7,7,2,2,1,4
293769,1,1,1,3,3,2,8,4,7,9,2,4,1,4
1362496,1,1,1,3,3,2,1,4,3,3,1,2,1,4
894651,1,1,3,2,1,2,1,4,5,9,3,4,1,3
837899,1,1,1,2,2,5,1,4,5,9,1,4,1,4
1661162,1,1,3,1,3,4,1,4,9,9,3,4,1,4
1714084,1,1,2,2,3,2,1,4,5,9,2,4,1,4
32970,1,1,2,2,3,4,1,4,9,9,3,4,1,4
1324993,1,0,1,2,3,4,1,4,9,5,1,2,1,4
1644882,1,1,1,3,3,4,1,4,5,5,1,2,1,4
1080176,1,1,3,3,3,3,1,4,7,9,1,4,1,4
768696,1,1,2,1,3,2,8,4,5,5,1,2,1,4
821757,1,1,3,1,3,5,1,4,9,9,3,4,1,4
1306501,1,1,3,3,3,2,1,4,5,5,1,2,1,4
588053,1,1,3,3,3,2,8,4,5,9,1,4,1,4
973794,1,1,2,2,2,2,8,4,5,9,2,4,1,4
1162117,1,1,2,2,3,2,1,4,5,5,1,2,1,4
1243835,1,0,1,2,3,5,1,2,5,9,1,4,1,4
1622702,1,1,1,3,3,2,1,4,5,5,1,2,1,4
903288,1,1,2,2,3,1,8,4,5,9,2,4,1,4
916059,1,1,3,1,2,1,8,4,5,9,1,4,1,1
161533,1,0,3,2,3,3,1,4,5,5,1,2,1,4
537276,1,1,3,1,1,1,8,4,5,9,2,4,1,2
1332977,1,1,3,1,3,2,8,4,7,9,2,4,1,4
905231,1,1,3,2,3,2,8,4,9,9,3,3,1,4
1042294,1,1,3,2,3,4,1,4,3,9,1,4,1,4
930764,1,1,3,1,3,2,8,4,5,9,2,1,1,4
1117713,1,1,3,2,3,1,8,4,5,9,1,4,1,4
1258379,1,1,1,3,2,5,1,4,5,9,1,4,1,4
218579,1,1,3,1,2,4,1,4,3,9,1,4,1,1
1524940,1,1,3,3,3,3,8,4,9,9,2,4,1,4
1278814,1,1,2,3,3,3,1,4,7,7,1,2,1,4
826859,1,1,1,3,3,3,8,4,9,5,3,2,1,4
1133070,1,1,2,3,3,3,1,4,5,9,2,4,1,4
212637,1,1,3,3,3,3,8,4,5,9,1,4,1,4
104156,1,1,2,3,3,3,1,4,5,9,2,4,1,4
1550201,1,1,2,2,2,2,1,4,5,5,1,2,1,4
1021225,1,0,2,2,3,4,1,4,5,5,2,1,1,4
1069534,1,1,3,1,1,1,8,4,5,9,1,4,1,2
547336,1,1,1,3,3,1,8,4,5,5,1,2,1,4
1219186,1,1,3,2,3,4,1,4,9,9,1,2,1,4
1042573,1,1,2,3,3,5,1,4,5,5,2,1,1,4
278922,1,1,2,3,3,2,1,4,5,5,1,2,1,4
553965,1,0,2,2,3,2,1,4,5,5,1,2,1,4
1012538,1,1,2,3,3,1,8,4,4,4,1,2,1,4
1018824,1,1,1,2,3,2,8,4,5,5,1,2,1,4
1151855,1,1,3,2,3,2,8,4,9,9,3,4,1,4
482994,1,1,2,2,3,2,1,4,9,9,1,4,1,4
1449695,1,1,2,2,3,2,1,4,5,5,1,2,1,4
916788,1,1,2,2,3,5,1,4,9,9,3,3,1,4
1569031,1,1,1,3,3,4,1,4,9,9,9,4,1,4
1095766,1,1,2,3,3,2,8,4,5,9,1,4,1,4
966692,1,1,3,2,3,4,1,4,9,9,1,2,1,4
1369746,1,1,2,2,2,5,1,4,5,9,1,4,1,4
1514144,1,1,2,2,3,2,1,4,9,9,1,2,1,4
1025788,1,1,2,2,2,3,1,4,5,9,1,4,1,4
1304652,1,1,2,3,2,1,1,4,9,9,3,2,1,4
1016319,1,1,2,3,3,2,1,4,5,5,2,1,1,4
888960,1,0,1,2,3,3,1,4,5,5,1,2,1,4
471861,1,1,2,3,3,2,1,4,6,9,2,4,1,4
1393366,1,1,1,3,3,3,1,4,5,5,1,2,1,4
17444,1,1,3,1,2,5,1,4,7,7,1,1,1,1
531264,1,0,3,2,3,2,8,4,5,5,1,2,1,4
708543,1,0,2,2,3,2,8,4,5,5,1,2,1,4
701333,1,0,2,2,3,5,1,4,5,9,1,4,1,4
962973,1,1,2,3,2,2,1,4,9,9,9,4,1,4
767797,1,1,2,3,3,2,8,4,9,9,3,4,1,4
107924,1,0,3,2,2,1,1,4,5,9,2,4,1,4
382004,1,1,2,3,2,1,8,4,5,9,2,4,1,4
317308,1,1,3,2,2,2,8,4,5,5,1,2,1,4
1315800,1,1,3,3,3,4,1,4,5,5,1,2,1,4
84794,1,1,2,3,3,2,8,4,5,9,2,4,1,4
1077331,1,1,1,2,3,5,1,4,5,5,1,2,1,4
17432,1,1,2,3,3,3,1,4,9,9,1,4,1,4
249027,1,1,2,3,3,2,1,4,5,5,1,2,1,4
105815,1,1,1,3,2,2,1,4,5,9,2,4,1,4
217330,1,1,3,1,3,2,8,4,2,2,1,2,1,4
631835,1,1,2,2,2,4,1,4,5,9,2,4,1,4
152053,1,1,1,2,3,3,1,4,5,9,1,4,1,4
